Player,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Height_cm
Manu Ginobili,6-6,205,None,Argentina,1999,2,57,198.12
Wally Szczerbiak,6-7,244.0,Miami (OH),USA,1999,1,6,200.66
Richard Hamilton,6-7,193,Connecticut,USA,1999,1,7,200.66
Andre Miller,6-2,200,Utah,USA,1999,1,8,187.96
Shawn Marion,6-7,228,Nevada-Las Vegas,USA,1999,1,9,200.66
Guy Rucker,6-9,270.0,Iowa,USA,1999,,,205.74
Kenyon Martin,6-9,240,Cincinnati,USA,2000,1,1,205.74
Keyon Dooling,6-3,195,Missouri,USA,2000,1,10,190.5
Jerome Moiso,6-10,232.0,California-Los Angeles,France,2000,1,11,208.28
Etan Thomas,6-10,260.0,Syracuse,USA,2000,1,12,208.28
Courtney Alexander,6-6,205.0,Fresno State,USA,2000,1,13,198.12
Mateen Cleaves,6-2,205.0,Michigan State,USA,2000,1,14,187.96
Jason Collier,7-0,260.0,Georgia Tech,USA,2000,1,15,213.36
Hedo Turkoglu,6-10,220,None,Turkey,2000,1,16,208.28
Desmond Mason,6-5,222.0,Oklahoma State,USA,2000,1,17,195.58
Quentin Richardson,6-6,228,DePaul,USA,2000,1,18,198.12
Jamaal Magloire,6-11,265,Kentucky,Canada,2000,1,19,210.82
Stromile Swift,6-9,225.0,Louisiana State,USA,2000,1,2,205.74
Speedy Claxton,5-11,166.0,Hofstra,USA,2000,1,20,180.34
Morris Peterson,6-7,218.0,Michigan State,USA,2000,1,21,200.66
Donnell Harvey,6-8,220.0,Florida,USA,2000,1,22,203.2
DeShawn Stevenson,6-5,218,None,USA,2000,1,23,195.58
Dalibor Bagaric,7-1,270.0,None,Croatia,2000,1,24,215.9
Jake Tsakalidis,7-2,285.0,None,Greece,2000,1,25,218.44
Mamadou N'diaye,7-0,255.0,Auburn,Senegal,2000,1,26,213.36
Primoz Brezec,7-1,243.0,None,Slovenia,2000,1,27,215.9
