"X","Unnamed..0","Player","Height","Weight","College","Country","Draft_Year","Draft_Round","Draft_Number","Height_cm","Body_fat","Hand_length","Hand_width","Standing_reach","Wingspan","Wingspan_cm","Standing_reach_cm","period","Nationality"
162,162,"Greg Ostertag","7-2",280,"Kansas","USA",1995,1,"28",218.44,"","","","",NA,NA,NA,"before 2002","US player"
163,163,"Cory Alexander","6-1",190,"Virginia","USA",1995,1,"29",185.42,"","","","",NA,NA,NA,"before 2002","US player"
164,164,"Jerry Stackhouse","6-6",218,"North Carolina","USA",1995,1,"3",198.12,"","","","",NA,NA,NA,"before 2002","US player"
165,165,"Dragan Tarlac","6-11",270,"None","USA",1995,2,"31",210.82,"","","","",NA,NA,NA,"before 2002","US player"
166,166,"Andrew DeClercq","6-10",255,"Florida","USA",1995,2,"34",208.28,"","","","",NA,NA,NA,"before 2002","US player"
167,167,"Donny Marshall","6-7",230,"Connecticut","USA",1995,2,"39",200.66,"","","","",NA,NA,NA,"before 2002","US player"
168,168,"Rasheed Wallace","6-11",225,"North Carolina","USA",1995,1,"4",210.82,"","","","",NA,NA,NA,"before 2002","US player"
169,169,"Eric Snow","6-3",204,"Michigan State","USA",1995,2,"43",190.5,"","","","",NA,NA,NA,"before 2002","US player"
170,170,"Tyus Edney","5-10",166,"California-Los Angeles","USA",1995,2,"47",177.8,"","","","",NA,NA,NA,"before 2002","US player"
171,171,"Kevin Garnett","6-11",253,"None","USA",1995,1,"5",210.82,"","","","",NA,NA,NA,"before 2002","US player"
172,172,"Fred Hoiberg","6-5",210,"Iowa State","USA",1995,2,"52",195.58,"","","","",NA,NA,NA,"before 2002","US player"
173,173,"Chris Carr","6-6",220,"Southern Illinois","USA",1995,2,"56",198.12,"","","","",NA,NA,NA,"before 2002","US player"
174,174,"Don Reid","6-8",250,"Georgetown","USA",1995,2,"58",203.2,"","","","",NA,NA,NA,"before 2002","US player"
175,175,"Bryant Reeves","7-0",290,"Oklahoma State","USA",1995,1,"6",213.36,"","","","",NA,NA,NA,"before 2002","US player"
176,176,"Damon Stoudamire","5-10",171,"Arizona","USA",1995,1,"7",177.8,"","","","",NA,NA,NA,"before 2002","US player"
177,177,"Allen Iverson","6-0",165,"Georgetown","USA",1996,1,"1",182.88,"","","","",NA,NA,NA,"before 2002","US player"
178,178,"Erick Dampier","6-11",265,"Mississippi State","USA",1996,1,"10",210.82,"","","","",NA,NA,NA,"before 2002","US player"
179,179,"Vitaly Potapenko","6-10",285,"Wright State","Ukraine",1996,1,"12",208.28,"","","","",NA,NA,NA,"before 2002","Foreign player"
180,180,"Kobe Bryant","6-6",205,"None","USA",1996,1,"13",198.12,"","","","",NA,NA,NA,"before 2002","US player"
181,181,"Peja Stojakovic","6-9",229,"None","Serbia and Mo...",1996,1,"14",205.74,"","","","",NA,NA,NA,"before 2002","Foreign player"
182,182,"Steve Nash","6-3",178,"Santa Clara","Canada",1996,1,"15",190.5,"","","","",NA,NA,NA,"before 2002","Foreign player"
183,183,"Tony Delk","6-2",189,"Kentucky","USA",1996,1,"16",187.96,"","","","",NA,NA,NA,"before 2002","US player"
184,184,"Jermaine O'Neal","6-11",255,"None","USA",1996,1,"17",210.82,"","","","",NA,NA,NA,"before 2002","US player"
185,185,"John Wallace","6-9",225,"Syracuse","USA",1996,1,"18",205.74,"","","","",NA,NA,NA,"before 2002","US player"
186,186,"Walter McCarty","6-10",230,"Kentucky","USA",1996,1,"19",208.28,"","","","",NA,NA,NA,"before 2002","US player"
187,187,"Marcus Camby","6-11",235,"Massachusetts","USA",1996,1,"2",210.82,"","","","",NA,NA,NA,"before 2002","US player"
188,188,"Zydrunas Ilgauskas","7-3",260,"None","Lithuania",1996,1,"20",220.98,"","","","",NA,NA,NA,"before 2002","Foreign player"
189,189,"Efthimios Rentzias","6-11",250,"None","Greece",1996,1,"23",210.82,"","","","",NA,NA,NA,"before 2002","Foreign player"
190,190,"Derek Fisher","6-1",210,"Arkansas-Little Rock","USA",1996,1,"24",185.42,"","","","",NA,NA,NA,"before 2002","US player"
191,191,"Jerome Williams","6-9",206,"Georgetown","USA",1996,1,"26",205.74,"","","","",NA,NA,NA,"before 2002","US player"
192,192,"Travis Knight","7-0",235,"Connecticut","USA",1996,1,"29",213.36,"","","","",NA,NA,NA,"before 2002","US player"
193,193,"Shareef Abdur-Rahim","6-9",230,"California","USA",1996,1,"3",205.74,"","","","",NA,NA,NA,"before 2002","US player"
194,194,"Othella Harrington","6-9",235,"Georgetown","USA",1996,2,"30",205.74,"","","","",NA,NA,NA,"before 2002","US player"
195,195,"Moochie Norris","6-1",175,"West Florida","USA",1996,2,"33",185.42,"","","","",NA,NA,NA,"before 2002","US player"
196,196,"Jeff McInnis","6-4",179,"North Carolina","USA",1996,2,"37",193.04,"","","","",NA,NA,NA,"before 2002","US player"
197,197,"Stephon Marbury","6-2",180,"Georgia Tech","USA",1996,1,"4",187.96,"","","","",NA,NA,NA,"before 2002","US player"
198,198,"Randy Livingston","6-4",209,"Louisiana State","USA",1996,2,"42",193.04,"","","","",NA,NA,NA,"before 2002","US player"
199,199,"Malik Rose","6-7",255,"Drexel","USA",1996,2,"44",200.66,"","","","",NA,NA,NA,"before 2002","US player"
200,200,"Amal McCaskill","6-11",245,"Marquette","USA",1996,2,"49",210.82,"","","","",NA,NA,NA,"before 2002","US player"
201,201,"Ray Allen","6-5",205,"Connecticut","USA",1996,1,"5",195.58,"","","","",NA,NA,NA,"before 2002","US player"
202,202,"Mark Pope","6-10",235,"Kentucky","USA",1996,2,"52",208.28,"","","","",NA,NA,NA,"before 2002","US player"
203,203,"Shandon Anderson","6-6",210,"Georgia","USA",1996,2,"54",198.12,"","","","",NA,NA,NA,"before 2002","US player"
204,204,"Antoine Walker","6-9",245,"Kentucky","USA",1996,1,"6",205.74,"","","","",NA,NA,NA,"before 2002","US player"
