,PLAYER,TEAM,PER,RK,Height_cm,Weight
289,Damyean Dotson,NY,10.81,290.0,198.12,210.0
290,DeAndre' Bembry,ATL,10.79,291.0,198.12,210.0
291,Mikal Bridges,PHX,10.78,292.0,200.66,210.0
292,Devin Harris,DAL,10.76,293.0,190.5,185.0
293,Tony Snell,MIL,10.72,294.0,200.66,213.0
294,Langston Galloway,DET,10.69,295.0,187.96,200.0
295,Josh Jackson,PHX,10.67,296.0,203.2,200.0
296,Antonio Blakeney,CHI,10.65,297.0,193.04,192.0
297,Reggie Bullock,DET,10.48,298.0,200.66,205.0
298,Shelvin Mack,MEM,10.45,299.0,190.5,203.0
299,Torrey Craig,DEN,10.42,300.0,200.66,215.0
300,Wesley Matthews,DAL,10.37,301.0,195.58,220.0
301,D.J. Wilson,MIL,10.33,302.0,208.28,231.0
302,Devonte' Graham,CHA,10.32,303.0,187.96,185.0
303,Dante Cunningham,SA,10.21,304.0,203.2,230.0
304,Hamidou Diallo,OKC,10.17,305.0,195.58,198.0
305,Kevin Huerter,ATL,10.15,306.0,200.66,190.0
306,Justin Holiday,CHI,9.99,307.0,198.12,181.0
307,De'Anthony Melton,PHX,9.94,308.0,193.04,200.0
308,Chasson Randle,WSH,9.91,309.0,187.96,185.0
309,Troy Daniels,PHX,9.88,310.0,193.04,205.0
310,OG Anunoby,TOR,9.85,311.0,203.2,232.0
311,Kenrich Williams,NO,9.7,312.0,200.66,210.0
312,Dirk Nowitzki,DAL,9.7,,213.36,245.0
313,Stanley Johnson,NO,9.68,314.0,200.66,245.0
314,Keita Bates-Diop,MIN,9.66,315.0,205.74,229.0
315,Dragan Bender,PHX,9.48,316.0,215.9,225.0
316,Frank Jackson,NO,9.42,317.0,190.5,205.0
317,Rodney McGruder,MIA,9.41,318.0,193.04,200.0
318,Josh Okogie,MIN,9.38,319.0,193.04,212.0
319,Josh Hart,LAL,9.31,320.0,195.58,215.0
320,P.J. Tucker,HOU,9.24,321.0,198.12,245.0
321,Gary Clark,HOU,9.17,322.0,203.2,225.0
322,Iman Shumpert,HOU,9.11,323.0,195.58,215.0
323,C.J. Miles,TOR,9.02,324.0,198.12,
324,Royce O'Neale,UTAH,9.0,325.0,198.12,226.0
325,Brandon Knight,CLE,8.96,326.0,190.5,195.0
326,Abdel Nader,OKC,8.83,327.0,198.12,225.0
327,Chandler Hutchison,CHI,8.83,,200.66,197.0
328,Glenn Robinson III,DET,8.77,329.0,198.12,222.0
329,Kevin Knox II,NY,8.73,330.0,205.74,215.0
330,Wes Iwundu,ORL,8.71,331.0,200.66,195.0
331,Anthony Tolliver,MIN,8.65,332.0,203.2,250.0
332,Mike Scott,LAC,8.64,333.0,203.2,237.0
333,Jerryd Bayless,MIN,8.58,334.0,190.5,200.0
334,Jonathon Simmons,ORL,8.56,335.0,198.12,195.0
335,Semi Ojeleye,BOS,8.53,336.0,200.66,241.0
336,Wilson Chandler,LAC,8.51,337.0,205.74,225.0
337,Garrett Temple,LAC,8.48,338.0,198.12,195.0
338,Darius Miller,NO,8.39,339.0,203.2,225.0
339,Wayne Selden,CHI,8.33,340.0,195.58,230.0
340,Ian Clark,NO,8.32,341.0,190.5,175.0
341,Patrick Patterson,OKC,8.14,342.0,205.74,230.0
342,Timothe Luwawu-Cabarrot,CHI,8.03,343.0,198.12,210.0
343,Isaiah Canaan,MIL,8.0,344.0,182.88,200.0
344,Jevon Carter,MEM,7.86,345.0,187.96,196.0
345,Jared Dudley,BKN,7.83,346.0,200.66,237.0
346,Allen Crabbe,BKN,7.74,347.0,198.12,212.0
347,Austin Rivers,HOU,7.73,348.0,193.04,200.0
348,Avery Bradley,LAC,7.66,349.0,187.96,180.0
349,Elie Okobo,PHX,7.65,350.0,190.5,190.0
350,Jose Calderon,DET,7.09,351.0,190.5,200.0
351,Tyrone Wallace,LAC,7.07,352.0,195.58,198.0
352,Bruce Brown,DET,6.97,353.0,195.58,202.0
353,Solomon Hill,NO,6.85,354.0,200.66,225.0
354,Isaiah Briscoe,ORL,6.74,355.0,190.5,215.0
355,Terrance Ferguson,OKC,6.46,356.0,200.66,190.0
356,Lance Thomas,NY,6.43,357.0,203.2,240.0
357,Alex Abrines,OKC,6.28,358.0,198.12,200.0
358,Treveon Graham,BKN,6.17,359.0,195.58,225.0
359,Frank Ntilikina,NY,6.03,360.0,198.12,200.0
360,Wesley Johnson,NO,5.5,361.0,200.66,215.0
